question,tag,correction
queue,ray-core,
what is the difference between version 2.6 and 2.7,other,
What is the recommended way of self-hosting a ray cluster? Is it kuberay or the vm variant of the deployment?,cluster,
what is ray cluster,cluster,
how to get job info from submition id,cluster,
get_class_info job continusly running,cluster,
which version of python,cluster,other
why does ray data convert pytorch to numpy?,data,
tell me about cheese,rllib,other
Quels sont les moyens pour continuer l'entrainement d'un agent RL qui a fini un premier entrainement ?,train,rllib
How do i set inint parameters for an ray serve using put serve/applications/ api,serve,
how can I access the weights of a fcnet fully connected network?,ray-core,rllib
how do I convert a ray dataset into a list?,data,
How do i check if my python instance is already connected to a ray cluster,cluster,
what does policy_map do?,rllib,
how can i deploy an additional ray service using python,cluster,serve
what are the global_vars in rllib?,rllib,
How do I access the policy of a worker?,rllib,
How can I spefic the GPU id in ray serve,serve,
give me an example of custom env work with qmix,other,rllib
Integrate ray with loguru,tune,ray-observability
how to run qmix with multi-agent env,rllib,
Fait la liste des paramètres de air.CheckpointConfig avec une description de chaque paramètres ?,train,
Can I create a recurring job using ray?,cluster,
ray autoscaling yaml,cluster,
custom integration between Unreal Engine 5 and RLlib can be achievable?,rllib,
ray cluster是否依赖k8s,cluster,
submitting the API jobs on ray clusters,cluster,
how to evaluate my trained BC ?,other,rllib
RuntimeError: Unable to set up cluster storage at storage_path=/code/. Check that all nodes in the cluster have read/write access to the configured storage path.,cluster,
Can I do inference and training for my RL algorithm locally via for example VS code?,rllib,
Please tell me how to use the ppo class.,other,rllib
如何在remote方法中使用ProcessPoolExecutor进程池执行方法,ray-core,
"when setting up a cluster on azure, in the yaml config file I select things like imagePublisher and other image related attributes. what do these do? can I still make sure my jobs run in a custom docker defined container?",cluster,
How can I import DataBatch type?,data,
"while training behavioral clonning, can I have a validation set as we have in the context of supervised learning?",other,rllib
is this framework suitable for indie developers or more targeted toward enterprises?,other,
How do I report session loss,rllib,train
how to clean the memory in Ray,ray-core,
PPO isn't using GPU even though .resources(num_gpus=1),ray-core,rllib
How to run MLflow projects with ray?,other,train
"when tuning xgboost , if max concurent trail too large it will cause OOM, how to limit it or how to scheduling these trial by memory ?",ray-core,tune
How do I deploy LLM using Ray,other,
Is it possible to pass arguments to ray job entrypoints?,cluster,
Where is the source codes of the Ray Data?,data,
Is it possible to submit a python function to a ray cluster?,cluster,
What is a remote function call?,ray-core,
what is a remote function call+,ray-core,
How's this different from MLflow,other,
How's this difference from MLOps,cluster,other
What is a class 'ray._raylet.ObjectRef' object?,ray-core,
PPO算法的常用的超参数有哪些,rllib,
how do I write export and bundle my image transform model,rllib,
does ray head support high availability?,cluster,
ray rllib run with fake_gpus=True does not work by tuner.fit(),other,tune
What does get_policy.remote return?,rllib,
How do I access a remote workers default policy?,rllib,
I get this error: AttributeError: 'ActorHandle' object has no attribute 'policy_map',ray-core,
DQN算法的默认参数设置是多少,rllib,
How can I use rllib on a gym retro env.,rllib,
what does a config file look like for cli jobs?,cluster,
does each individual worker have a default_policy_id,rllib,
How can I convert to DataBatchType From Dataset?,data,
How to specify a logdir for a RL training ?,tune,ray-observability
how to use ray to fast read data from parquet in s3,data,
"I only see log like this job status: RUNNING, time elapsed 88.12 seconds",cluster,
load a pretrained model with tune.tuner fron checkpoint,tune,
Comment reprendre l'entrainement d'un agent avec tune.Tuner ?,tune,
What is pretty_print ?,rllib,other
How to use Ray to run Docker containers,cluster,
Sean,rllib,other
can Ray automatically synchronize a relatively imported module to other machines,tune,ray-core
Run xgboost model in azure in parallel with Ray,train,
Can Ray pull docker image and run commands in Python code,cluster,
为什么我安装好了ray在命令行中却不能使用ray,ray-core,
can Ray pull docker image and run commands,cluster,
ScalingConfig怎么设置,rllib,train
TypeError: CheckpointConfig.__init__() got an unexpected keyword argument 'storage_path',train,
Is Ray framework opensourced,ray-core,
I want to perform shuffling across my dataset but setting `local_shuffle_buffer` size makes the program significantly slower. I also tried using ds.shuffle.repeat(5) after every 5 epochs -- that is better but still slow. What is the fastest way to shuffle in-memory data?,data,
Is anyscale platform available right now,cluster,other
Is Anyscale low-code,other,
Is Anyscale SaaS,cluster,other
"in my <http://ray.io|ray.io> cluster setup, why is /api/serve/applications/ not enabled (return 404)",serve,
pricing,rllib,other
Does Ray provide a clear file structure or this is its disadvantage,cluster,ray-core
Does Anyscale platform host prometheus for me,cluster,other
Does Anyscale support real-time monitoring,ray-core,other
What does the head node do versus the worker nodes?,cluster,
How do I get started,tune,other
What are some disadvantages of Ray,other,
Ray limitations,ray-core,
"raise OSError(ctypes.get_last_error(), ""AssignProcessToJobObject() failed"")",ray-core,
"# Initialize and train your trainer algo = PPO(config=config) # Changed this line algo.restore(checkpt_path) env = Path_simu_270() obs, info = env.reset() 我已经加载了训练好的环境，写一段代码，计算agent在不同obs情况下，action选择的概率# Initialize and train your trainer algo = PPO(config=config) # Changed this line algo.restore(checkpt_path) env = Path_simu_270() obs, info = env.reset() 我已经加载了训练好的环境，写一段代码，计算agent在不同obs情况下，action选择的概率",rllib,
can you give me a slateQ example?,tune,rllib
how can i use attention in PPOConfing,rllib,
torchtrainer,train,
how to split dataset into trainset and valset with ratio 8:2,data,
how to raise and handle error in actor?,ray-core,
RuntimeError: mean(): could not infer output dtype. Input dtype must be either a floating point or complex dtype. Got: Long,ray-core,other
rllib强化学习单边杆的demo,rllib,
i got a dataset that when i perform a map on it stops having any kind of paralellism. Why?,data,
UserWarning: WARN: Overriding environment CartPoleDebug-v0 already in registry. error on using DreamerV3,rllib,
how to resume experiment of rllib,rllib,
"how can i add ""reuse_actors=True"" in PPOConfig",rllib,
"I trained an agent using PPO with Ray RLLIB, specifically using tune.Tuner.fit() and now I want to run the agent on an environment. how do I do this?",tune,
I want to add ltsm in PPOConfig,rllib,
how can I change the model parameter with PPOConfig,rllib,
I am training PPO on an atari environment. How can I ensure that it is preprocessed properly?,train,rllib
"# Initialize and train your trainer algo = PPO(config=config) # Changed this line algo.restore(checkpt_path) env = Path_simu_270() obs, info = env.reset() 我已经加载了训练好的环境，写一段代码，计算agent在不同obs情况下，action选择的概率",rllib,
how to add ltsm in ppoconfig,rllib,
How do you use ray serve for LLms,serve,
How can I record a video of an agent rollout using RLLIB?,rllib,
", accelerators def train() -> None: # config training parameters train_config = { ""env"": ""CartPole-v1"", # MyCustomEnv_v0, ""framework"": ""torch"", ""num_workers"": 1, ""num_gpus"": 1, # Add this line to specify using one GPU ""num_gpus_per_worker"": 1, ""accelerator_type"": NVIDIA_TESLA_T4, ""model"": { ""fcnet_hiddens"": [512, 512, 256], ""fcnet_activation"": ""relu"", }, ""lr"": 3e-4, ""optimization"": { ""optimizer"": ""adam"", ""adam_epsilon"": 1e-8, ""adam_beta1"": 0.9, ""adam_beta2"": 0.999, }, ""gamma"": 0.99, ""num_sgd_iter"": 10, ""sgd_minibatch_size"": 500, ""rollout_fragment_length"": 500, ""train_batch_size"": 4000, ""prioritized_replay"": True, ""prioritized_replay_alpha"": 0.6, ""prioritized_replay_beta"": 0.4, ""buffer_size"": 500000, ""stop"": {""episodes_total"": 5000000}, ""exploration_config"": {}, } stop_criteria = {""training_iteration"": 10} # start to train try: results = tune.run( PPO, # PPO, config=train_config, stop=stop_criteria, verbose=1, ) except BaseException as e: print(f""training error: {e}"") if __name__ == ""__main__"": train() how to add accelerator?",train,rllib
How can I find out how much time Ray dataset is spending to download the data set?,data,
how to use profiling?,other,ray-observability
How can i use it?,ray-core,other
default value of rollout_fragment_length for PPO config,rllib,
How is the head container initialized?,cluster,
explain to me how the gym action space works,rllib,
How can I use the Ray.timeline trace to debug performance issues?,ray-observability,
How does the ray tracing timeline work?,ray-observability,
"When using RLlib and tune, can I somehow decide how the metrics from various envs and workers will be collected? I might not want to have the average, I might want to have a mean value.",rllib,
tune metric collect from workers,tune,
tune metric,tune,
kann man replaybuffer mit ppo verwenden?,rllib,
ich habe ein custom environment und wie kann ich das beheben? Your env doesn't have a .spec.max_episode_steps attribute,rllib,
how to use it? --include-dashboard,cluster,
was ist num_rollout_workers sehr einfach erklärt,rllib,
"how to get the log of raylet, or could you give me a code that will print raylet log?",tune,ray-observability
"is max seq len die länge von trajectory view api ? ""use_attention"": True, ""max_seq_len"": 10, ""attention_num_transformer_units"": 1, ""attention_dim"": 32, ""attention_memory_inference"": 10, ""attention_memory_training"": 10, ""attention_num_heads"": 1, ""attention_head_dim"": 32, ""attention_position_wise_mlp_dim"": 32,",rllib,
"If I want access to my full local project code on a Ray cluster, how does Ray upload all the code?",cluster,
can i run dimensionality reduction on ray,ray-core,other
"I am using cloud syncing to S3 in my Ray Tune runs, but am getting an AWS Error ""SLOW_DOWN"". How do I prevent this?",tune,
can I use ray train to run `transform` on a pandas dataframe using a pretrained huggingface model,train,
"I'm using a Ray cluster on AWS. Specifically, I'm using Ray Tune to tune a model and Ray Core to do this multiple times in parallel. I'm saving checkpoints and model artifacts to S3, but getting a ""SLOW_DOWN"" error. How can I avoid this with Ray Tune?",tune,
"I have 16 giga of ram, why Ray say I have 5.80GiB of memory in the dashboard?",cluster,ray-observability
how can i get the devices my pytorch process is running on?,tune,train
How can I create a RAG Pipeline with Ray?,ray-core,other
"I know the method ""get_policy"" of Trainer classes for RLLIB, but how do I list out all of the available policies?",rllib,
- is there a python 3.12 nightly build for ray?,other,
would a RayCluster with autoscaler scale down when jobs are completed?,cluster,
Can I configure the autoscaler for kubernetes clusterS?,cluster,
What algorithm support tuples and lstm policy,rllib,
What algorithm support tuples,rllib,
how do I specify that a job should run in a docker container based on a specific docker file or docker image?,cluster,
Get_distribution_inputs_and_class 具体实现了什么,rllib,
rllib自定义策略需要实现什么函数,rllib,
how to limit the number of ray processes started when i use serve run,serve,
如何实现自己的符合ray格式的dqn算法,rllib,
raydashbord可以查看ray tune的什么结果？,tune,
rllib中dqn支持什么格式的action space,rllib,
Avec ray Tune comment spécifier le chemin vers le logdir ray_results ?,tune,
how to ignore error trial in ray.tune.Tuner,tune,
Can you wrap my code in raytune function,other,tune
ich bentuze diesen code: from ray.rllib.policy.policy import Policy agent = Policy.from_checkpoint(checkpoint_path) und möchte den config mit print zeigen. wie kann ich das machen?,rllib,
Wie funktioniert GTrxl agent?,rllib,
raise an error when there's a job submission problem,cluster,
如何在 k8s raycluster 中管理 python 依赖,cluster,
What is the default cpu and gpu number used while running ray.remote,ray-core,
how do I count in agent steps ?,rllib,
How does this compare against Mlflow?,cluster,other
如何查看训练完成以后获得的策略,rllib,
我有训练好的模型，如何获得在某一个obs是的策略分布,rllib,
ray serve调用流程,serve,
a+b,rllib,other
minist,tune,train
worker_timeout,ray-core,
ray怎么做高可用,ray-core,
deployments中如何设置route_prefix,serve,
我有多个ray集群，我怎么每次指定提交到一个环境中,rllib,
代码怎么知道自己在哪个节点执行的,rllib,
怎么看一个任务在哪个节点执行的,rllib,
how to finetune a model using sentence transformers with Ray,other,train
How Ray Serve provides REST API?,serve,
How Ray Serve respond requests?,serve,
How Ray respond requests?,serve,
How ray serve works?,serve,
Quels sont les paramètres de PPOConfig() ?,rllib,
How to use an observation wrapper for a custom environment. I have defined both my custom env and a wrapper.,rllib,
在Actor中并发一个其他方法如何执行,ray-core,
create_reader,rllib,data
"Explique moi les paramètres de .training : .training( gamma=0.95, lr=0.003, kl_coeff=0.3, train_batch_size=2400, sgd_minibatch_size=240, vf_loss_coeff=0.01, model={""use_lstm"": args.use_lstm}, _enable_learner_api=False )",rllib,
如何限制每个worker的cpu,rllib,
告诉我tune.run()config参数的所有配置项，及其含义，我用的是ppo算法。,tune,
"When you submit a script to ray could from a remote host, what do you need in the your ray command?",cluster,
what is ray server,ray-core,serve
ray for flask api,ray-core,serve
Comprends tu le français ?,other,
每个任务设置使用0.2个gpu，显存如何限制,rllib,
"I am using Ray RLLib for my custom environment building and training. I want to learn about environment wrappers, like observation wrapper, reward wrapper etc.. Let me know about what kind of wrappers are available and how to use them?",rllib,
DeprecationWarning: `DirectStepOptimizer` has been deprecated. This will raise an error in the future!,cluster,rllib
ScalingConfig use CPU,train,
Does Ray work with YOLO,other,train
Which version of python should I choose for Ray 2.7.0?,cluster,other
how does ray scheduling work in a single node,ray-core,
how does Ray scheduling work in a single node only,ray-core,
does ray tasks only run in the same node?,ray-core,
can ray run different actors on different nodes?,ray-core,
how to get dataset shape without dataset.columns() api?,data,
does Ray uses shared memory/plasma between tasks,ray-core,
加载checkpoint以后如何，如何在环境中模拟,rllib,
Can I manually delete a ray-object from the global object store,ray-core,
"tolerations: - key: ""ray.io/node-type"" operator: ""Equal"" value: ""worker"" effect: ""NoSchedule""这个配置的作用",cluster,
Can I pass a ray-object reference around multiple tasks and actors?,ray-core,
"I have a Trainable that I created based on a function that I wrote and the execution went well. But sometimes I get this warning""The `reset` operation took 2.010 s, which may be a performance bottleneck."". And right after I get this error ""Trainable runner reuse requires reset_config() to be implemented and return True."". knowing that I create some random models in my function that I use to create the tuner that I fit how can I handel this manually",tune,
好像不管用,rllib,
How can I have one deployment per cluster node,serve,
tune如何使用多个GPU,tune,
can I pass a deployment handle to multiple actors and tasks,serve,
TorchTrainer和tune.Tuner有什么区别,tune,
"I have a Trainable that I created based on a function that I wrote and the execution went well. But sometimes I get this warning""The `reset` operation took 2.010 s, which may be a performance bottleneck."" and right after I get this error ""Trainable runner reuse requires reset_config() to be implemented and return True.""",tune,
how can I call a particular function in every deployed serve replica,serve,
我已经训练好的checkpoint，如何加载并在已有的环境中让智能体来执行,rllib,
what does MeanStdFilter do/,rllib,
can i do observation clipping for rllib ppo algo?,rllib,
can i add a softmax layer to rllib ppo algorithm?,rllib,
I want to write a code in which cartpole-v1 is trained by GPU.,other,
"虽然实例上有8个GPU，我能不能只用1块GPU训练，因为我买的话只能买1块，我想比较60vcpu+1gpu的训练速度和我本地目前90vcpu，0gpu的训练速度。如果可以的话，如何配置各项参数？包括：train_config = { ... ""num_workers"": 8, ""num_learner_workers"": 1, ""num_gpus"": 1, ""num_gpus_per_worker"": 0, ""num_cpus_per_worker"": 7, ""num_envs_per_worker"": 7, ... }等",rllib,
RAY_IGNORE_UNHANDLED_ERRORS=1是什么意思,ray-core,
Should i use both a preprocessor and a filter for my observations?,data,rllib
"In Ray RLLib, what is the difference between a preprocessor and a filter?",data,rllib
"I am using ray rllib. I wanted to normalize the observations of my custom environment, how to do this?",rllib,
How do I remove the time dimension after calling add_time_dimension ?,ray-core,rllib
max_concurrency,ray-core,
"In rllib want to assign my main trainer a fractional GPU, but I get a ""ValueError: Resource quantities must all be whole numbers. Violated by resource 'GPU'"" Error. What can I do to fix this?",rllib,
Does ray implement pipeline and tensor parallelism in ray train,train,
how to create chat bot from my internal pdf documents,cluster,other
can you write a simple mlp based rl module?,cluster,rllib
"how does kuberay select which node pool / nodes to use for its ray tasks? How can i assign two node pools , one for gpus the other for general purposw workloads",cluster,
what is DeploymentHandle; hoe does it work,serve,
how does InputNode() effect the DAG,ray-core,serve
what is InputNode() ; how does it work,cluster,serve
how to isolate ray runners,cluster,
how do I resolve ? (pid=63176) DeprecationWarning: `DirectStepOptimizer` has been deprecated. This will raise an error in the future!,other,rllib
How to wrap model in fucntion,other,
how to save best checkpoint,tune,
can i use an actor as part of a ds.map thst just transparently emits what was input but collect stats about the ds?,ray-core,data
how to use the method map_batches in ray.data,data,
"How to add System Metrics of ray, for example, GRAM usage per GPU?",ray-core,ray-observability
"In rllib, how can I pass parameters to a custom model?",rllib,
How is Ray?,ray-core,other
How can I deactivate the RLModule API?,rllib,
"I'm using a custom torch model for rllib and get the following error: ""ValueError: Cannot use `custom_model` option with RLModule API. `custom_model` is part of the ModelV2 API and Policy API, which are not compatible with the RLModule API."" How can I define this model to use the RLModule API?",rllib,
how to use different image for different job,cluster,
ray workflow,other,
"In rllib, how do I import `torch`? Should I use `try_import_torch`?",rllib,
"when using rllib with tune api, how do I add custom metrics to tensorboard",rllib,
"When Ray find out there are identical sets parameters for one remote function, does ray eliminate the duplicates",ray-core,
https://cloud.google.com/vertex-ai/docs/gl.ossary#pipeline,other,
how does it run jobs in a distributed nodes environement?,ray-core,
runtime_env中working_dir如何设置,ray-core,
Schedule actor on head node,ray-core,
"when I use ray.data flat_map function, How I put a global map variable into the function?",data,
什麼式yolov7,rllib,train
what is the meaning of truncateds returned by step in an environment,rllib,
propose a sample code to create a MultiAgentEnv,rllib,
介绍一下tensorboard各参数的意义,rllib,
Can I specify the node that I want to run on,ray-core,
如何加载checkpoint，并且将相关策略放到环境中，进行执行，并且以动画的方式将每一步绘制出来,rllib,
How to use Ray to let two remote functions communicate,ray-core,
what network connectivity requirements are there between head and workers nodes?,ray-core,
how do I load a model trained with GPU as a model in CPU?,other,train
can you call a ray.remote decorated function normally / without ray ?,ray-core,
"When there are no more rows to add to the buffer, the remaining rows in the buffer is drained. How ?",rllib,
I'm training PPO and wondering where I can find the code that actually calls my environment's step function,other,rllib
does running ds.filter(…).count() reprocesses the original ds? are subsequent filters or counts reprocessing the dataset -or- it is processed once and then cached?,data,
what is the way to use ray on the cloud?,cluster,
能给出神经网络回归以及超参数优化吗？并且最后做预测,rllib,
what is RAY_DEBUG_BUILD?,ray-observability,
what,other,
what is,ray-core,other
"How to add max_retries to this: @serve.deployCment( autoscaling_config={ ""target_num_ongoing_requests_per_replica"": 1, ""min_replicas"": 0, ""initial_replicas"": 1, ""max_replicas"": os.cpu_count(), }, ray_actor_options={ ""memory"": memory_per_replica, } ) class Translator: def __init__(self): # Load model self.model = TranslationPipeline( Engine(config) ) async def translate(self, source: str, target: str, text: str) -> str: # Run inference model_output = self.model.translate(source, target, text) return model_output",serve,
你好,rllib,
Help papi,ray-core,other
Help k,tune,other
run ray at host 0.0.0.0,ray-core,
InputNode() context manager ; how does it work,rllib,serve
how does .bind() work,other,serve
"Note that auto-vectorization only applies to policy inference by default. This means that policy inference will be batched, but your envs will still be stepped one at a time. 是什么意思",rllib,
RLlib will auto-vectorize Gym envs for batch evaluation if the num_envs_per_worker config is set 这里的vectorize 具体指什么,rllib,
"register_env(""multienv"", lambda config: MultiEnv(config)) 后面的lambda config: MultiEnv(config) 是python的什么语法",rllib,
How to limit the number of application depending to memory aviable on the auto scaler ?,cluster,
Install ray on docker desktop,cluster,
How would AI connect Ray to a CAD external environment,other,
Why only partially support MADDPG algorithm？,rllib,
why only partially support MADDPG algorithm？,rllib,
wh,rllib,other
"How do I solve this warning ? WARNING algorithm_config.py:2558 -- Setting `exploration_config={}` because you set `_enable_rl_module_api=True`. When RLModule API are enabled, exploration_config can not be set. If you want to implement custom exploration behaviour, please modify the `forward_exploration` method of the RLModule at hand. On configs that have a default exploration config, this must be done with `config.exploration_config={}`.",rllib,
ray cluster on ec2,cluster,
Are remote functions deployed as soon as @remote is used,ray-core,
"/lib/python3.8/site-packages/ray/rllib/agents/trainer.py"", line 1074, in _init raise NotImplementedError",rllib,
"Hello, my ray serve scale application above the amount of ram aviable on the system, that mean that the serve will create like 11 aplications that use 32 giga de ram, and the cluster have only 22 giga of ram, how to limit the number of running application to be behind the amount of ram aviable?",cluster,serve
ray train get the current device,train,
collate function that only moves some of the keys to cuda,other,data
Is ray doing health check upon detached actors?,ray-core,
Dow do I set up a single node ray cluster in docker desktop,cluster,
how much is Ray faster than Spark,cluster,other
is Ray's shared memory technology faster than Redis,ray-core,
ray kill,ray-core,
How to autoscale to adjust the num pods in ray cluster when training xgboost model,cluster,
How to autoscale when training xgboost model,train,
will http proxy calls serveHandle directly when a request is sent to it ?,serve,
how to auto scale the number of ray pods according to the size of dataset ?,data,
根据dashboard上面的actorid杀死actor,ray-core,
Please tell me how to use curiosity,cluster,rllib
what is first step to construct ray cluster with 3 aws spot instances?,cluster,
what is happening after PPOtrainer.train(),train,rllib
what is happening after algo.train(),train,rllib
will deployment create an actor after serve.run is called ?,serve,
"is there a example code for: You define a function that maps an env-produced agent ID to any available policy ID,",other,rllib
gcs_rpc_client.h:552: Failed to connect to GCS within 60 seconds. GCS may have been killed,cluster,ray-core
how to delete object refs,ray-core,
where is the location of the object store?,ray-core,
"Hey, Ray start a lot of new task so I become out of memory. How can I limit the number of task running to match the aviable Ram on the system.",ray-core,
我使用的是ppo算法，如何配置环境来使用GPU加速,rllib,
List guides to building retrieval augmented generation. Only list guides that came out in 2023.,rllib,other
List guides to building retrieval augmented generation,other,
如何查看rllib在训练过程中GPU的使用情况,rllib,
rllib 训练强化学习时 如何使用GPU加速,rllib,
"I am using BayesOptSearch, but during training the job fails while saving a checkpoint because it calls save of BatesOptSearch that throws: AttributeError: Can't pickle local object 'get_experiment_config.<locals>.<lambda>'",tune,
为什么Ray集群需要保留一个CPU,ray-core,
Can I run Python to connect to a Ray cluster from a machine which is not in the cluster,cluster,
ttributeError: module 'ray.tune' has no attribute 'Tuner,tune,
what are the parameters for tune.run()?,tune,
How does one resume a previous tune.run() from a checkpoint?,tune,
How does ray know one node is dead?,ray-core,
Fuck you,rllib,other
how to initialize ray,cluster,ray-core
What is Ray used for?,ray-core,other
How to apply dimension reduction to an occurence count matrix,cluster,other
Can you show me a python script to get logs for job,cluster,
can I use different ray_actor_options for the same serve.deployment,serve,
create a serve.deployment based on options,serve,
"What are those parameters for in PPO ? .training(_enable_learner_api=True, num_sgd_iter=10, sgd_minibatch_size=256, train_batch_size=4000)",rllib,
how can I get the name from deploymenthandle,serve,
I want to set up a cluster on AWS instances that has my Python project set up with pip dependencies installed and all project code available. How do I do this?,cluster,
I want to set up a cluster on AWS instances that has my Python project set up with pip dependencies installed and all project code available. How do I do this?,cluster,
How to transform an occurence count matrix using LSA in ray,ray-core,other
How to apply an latent semantic analysis (LSA) to an occurence count dataset,data,other
"If Ray could talk, what advice would it give to a young machine learning engineer?",ray-core,other
give me github link to ray,ray-core,other
What do the arguments to ASHAScheduler mean?,tune,
Does ray serve use uvicorn for http proxy?,serve,
when doing a ds.map are the enclosed function called turned into a ray.remote function?,ray-core,data
how to set that i want to use diagGaussian as distribution?,rllib,
can i set the output action distribution manually to gaussian?,rllib,
where can i see the action distribution that is used with the old Model api,rllib,
where can i see which action distribution is used?,rllib,
where can i see which action distribution is used?,rllib,
which action distribution is used by default and how should the output of my custom model look for it?,rllib,
how do I start a rayDP cluster on GCP,cluster,
"Custom ModelV2 should accept all custom options as **kwargs, instead of expecting them in config['custom_model_config']. How do i need to write my model and how should i pass the custom options?",rllib,
I get WARNING tensorboardx.py:232 -- You are trying to log an invalid value (ray/tune/hist_stats/episode_reward=[...) via TBXLoggerCallback,tune,
How can I use TorchTrainer to run multiGPU trials with ray tune?,tune,
prefetch when transforming data,data,
what algorithms can I use in a multi agent environment?,rllib,
store list of dicts in dataset,data,
use an array inside a dataset,data,
"I am getting ""Permission Denied"" while trying to write to a directory using ray tune",tune,
Can I use attention without using LSTM?,other,
"Are the config of AlgorithmConfig referred to a single trial? For example, if I have 4 gpus and I want 4 parallels trial for tuning hyperparameter, should I set num_gpus to 1?",train,rllib
"If in AlgorithmConfig I set num_gpus = 4, but num_gpus_per_worker=0 and num_gpus_per_learner_worker=0, what the opus are used for?",rllib,
How can I use LSTM in my MADDPG algorithm?,rllib,
How do you submit C++ jobs to Ray cluster?,cluster,
How to use Tensorboard with Ray tune on shared storage,tune,
how do i use tensorboard with ray tune and rllib,tune,
How can I know when an actor is ready to be called?,ray-core,
I am getting an error of AttributeError: 'Worker' object has no attribute 'core_worker',ray-core,
Where can I find info on c++ ray::Init call?,tune,ray-core
"What does this error mean? ``` Some processes that the driver needs to connect to have not registered with GCS, so retrying. Have you run 'ray start' on this node? ```",cluster,
How does C++ application connect to Ray cluster?,cluster,ray-core
How to enable mixed percision trianing,ray-core,train
Where is the C++ API doc?,other,ray-core
"is it possible to use same ray cluster launcher yaml file, but give the cluster different name via command line at run time ?",cluster,
which version of mlagents to install python and unit,cluster,other
can I use a ray.get with timeout?,ray-core,
"When an actor long-running function is called, if I call another function is it hanged? How can I get concurrency for on actor?",ray-core,
"When an actor long-running function is called, if I call another function while the first is running is it hanged this second function till the first one is finished?",ray-core,
do I need authentication support,other,
Num_agent_steps_smapled is large but num_agent_steps_trained still zero,rllib,
num_agent_steps is large but num_agent_steps trained still zero,rllib,
"What is the structure of the model specification ""conv_filters""?",rllib,
when using a DAG / workflow can one task return a generator consumed by the other? how does this work with the memory store?,other,
"I set 'num_gpus'=1 for my config in an rllib tune run, but it does not use the GPU. I am sure the underlying ML framework is set up correctly. How can I fix this?",tune,rllib
If I use list_actors to get actors how do I get the actor object itself to call kill?,ray-core,
Can I create acyclic pipelines in Ray?,cluster,other
Write a code where ray.init is used in conjunction with object_store_memory to set 12 GB shared memory,ray-core,
map batches without actor,ray-core,data
can i set up an actor directly on the remote machine?,ray-core,
PPOConfig对象有observation_processing方法或类似的东西吗？,rllib,
show me how to use an actor pool to call a function xyz from an actor,ray-core,
is there a way to have a dynamic size actor pool,ray-core,
how can i create an actor pool,ray-core,
How can I save checkpoints for a rllib tune run? Assume I want to resume the run later,tune,rllib
Talk and explain the view requirements of the attention model used in rlllib,rllib,
"In the context of rllib, when should I use ray train vs ray tune?",tune,
how to map a remote ray function to apply to an arrray,ray-core,
observation_filter: MeanStdFilter,rllib,
What is the difference between 'num_gpus_per_learner_worker' and 'num_gpus_per_worker'?,rllib,
"""observation_filter"": ""MeanStdFilter"", 在哪里配置？",rllib,
"In rllib, how do I allocate GPU resources to the main training process?",rllib,
What can Ray do,other,
"In my logs I see the following statement about resource usage ""Logical resource usage: 2.0/16 CPUs, 0.5/1 GPUs (0.0/1.0 accelerator_type:G)"". What does this mean?",cluster,ray-core
how to add '--shm-size=10.21gb' to the run_options list in a Ray cluster config?,cluster,
How to make a actor to exit himself,ray-core,
How can I change the optimizer?,tune,rllib
what is the default policy parameter,rllib,
materialize,data,
num_steps_trained is 0 but num_steps_sampled is non-zero,ray-core,rllib
"what is the parameter ""num_env_Steps_trained"" in rllib",rllib,
"ValueError: Cannot use `custom_model` option with RLModule API. `custom_model` is part of the ModelV2 API and Policy API, which are not compatible with the RLModule API. You can either deactivate the RLModule API by setting `config.rl_module( _enable_rl_module_api=False)` and `config.training(_enable_learner_api=False)` ,or use the RLModule API and implement your custom model as an RLModule.",rllib,
"Hi, I am using RLlib from Ray. The thing is I am using virtual machine on VMware, which use emulated GPU, not physical one, so how can I use GPU to train RL model?",other,
can you deploy in kubernetes,cluster,
model with continous actions,rllib,
how do I control the distribution of the variable during a TPE optimization,other,
lazy batch prediction,data,
hello,rllib,other
install ray all,other,
example training binary classification,tune,train
how do i call DeploymentHandle under ray.remote function,serve,
how to send the ray task to a remote cluster,ray-core,
give a sample which using ray 2.7.0 to run an RL with custom env,rllib,
"I dont understand ray serve, in my deployment method I can set autoscaler parameters, but in kubernetes I can also set min max replicas, which one should I use?",serve,
How to scale pandas?,cluster,data
"With PPO, how to track progress with tensorboard",tune,
alphazero montecarlo search,tune,rllib
"why i unable to see ray driver logs in dashboard,as it was showing failed to load",cluster,ray-observability
can ray deploymenthandler use different ray_actor_options at runtime,ray-core,serve
How to profile each ray node,cluster,ray-observability
can I use model multiplexing with different ray_actor_options,ray-core,serve
how to set seed when training rl agent?,rllib,
how to get a list of DeploymentResponse result,serve,
introduce dataset.repartition,data,
what ray stack show?,ray-core,
how to i get result from DeploymentHandle.remote(),serve,
how do i write a code to init ray runtime,ray-core,
How to start ray with cli,cluster,
pgrep raylet How to use?,ray-core,
Can DreamerV3 take advantage of GPU,cluster,rllib
怎么用Tune.run使用GPU训练模型？需要GPU初始化吗？我使用的是pytorch框架,tune,
"inside of a serve deployment or application, how can I construct a dag Node object",serve,
Setup local for local finetuning with cpu,other,train
setup local for local finetuning,other,train
can ray help me finetune on cpu,other,train
